[{'AccelX': 0.16, 'AccelY': -0.66, 'AccelZ': 9.1, 'GyroX': -3.3, 'GyroY': 2.92, 'GyroZ': -0.56, 'Temp': 26.88}]
[{'AccelX': 0.16, 'AccelY': -0.73, 'AccelZ': 9.14, 'GyroX': -3.48, 'GyroY': 1.31, 'GyroZ': -0.6, 'Temp': 27.02}]
[{'AccelX': 0.04, 'AccelY': -0.69, 'AccelZ': 9.13, 'GyroX': -2.82, 'GyroY': 4.19, 'GyroZ': -0.27, 'Temp': 26.98}]
[{'AccelX': -0.02, 'AccelY': -0.64, 'AccelZ': 9.1, 'GyroX': -3.02, 'GyroY': 2.03, 'GyroZ': -0.3, 'Temp': 26.93}]
[{'AccelX': -0.02, 'AccelY': -0.7, 'AccelZ': 9.18, 'GyroX': -2.72, 'GyroY': 0.18, 'GyroZ': -0.09, 'Temp': 26.88}]
[{'AccelX': 0.14, 'AccelY': -0.64, 'AccelZ': 8.9, 'GyroX': -2.67, 'GyroY': 0.94, 'GyroZ': 1.19, 'Temp': 27.02}]
[{'AccelX': 0.09, 'AccelY': -0.75, 'AccelZ': 9.01, 'GyroX': -2.84, 'GyroY': 2.95, 'GyroZ': 1.24, 'Temp': 27.02}]
[{'AccelX': 0.04, 'AccelY': -0.74, 'AccelZ': 8.89, 'GyroX': -3.44, 'GyroY': 2.4, 'GyroZ': 1.32, 'Temp': 27.07}]
[{'AccelX': 0.06, 'AccelY': -0.71, 'AccelZ': 9.1, 'GyroX': -3.82, 'GyroY': -0.18, 'GyroZ': 1.15, 'Temp': 26.93}]
[{'AccelX': 0.25, 'AccelY': -0.91, 'AccelZ': 9.0, 'GyroX': -5.82, 'GyroY': 2.34, 'GyroZ': 1.55, 'Temp': 26.98}]
[{'AccelX': 0.23, 'AccelY': -0.71, 'AccelZ': 9.1, 'GyroX': -3.42, 'GyroY': 2.6, 'GyroZ': 0.7, 'Temp': 27.02}]
[{'AccelX': 0.3, 'AccelY': -0.72, 'AccelZ': 9.17, 'GyroX': -3.79, 'GyroY': 4.49, 'GyroZ': 0.25, 'Temp': 27.07}]
[{'AccelX': 0.08, 'AccelY': -0.66, 'AccelZ': 9.05, 'GyroX': -3.02, 'GyroY': 6.18, 'GyroZ': 0.3, 'Temp': 27.02}]
[{'AccelX': 0.0, 'AccelY': -0.62, 'AccelZ': 9.16, 'GyroX': -4.04, 'GyroY': 3.37, 'GyroZ': -0.79, 'Temp': 26.93}]
[{'AccelX': -0.06, 'AccelY': -0.64, 'AccelZ': 9.13, 'GyroX': -4.67, 'GyroY': 4.13, 'GyroZ': -0.08, 'Temp': 26.98}]
[{'AccelX': -0.15, 'AccelY': -0.78, 'AccelZ': 9.18, 'GyroX': -4.18, 'GyroY': 2.21, 'GyroZ': 0.6, 'Temp': 26.93}]
[{'AccelX': -0.12, 'AccelY': -0.8, 'AccelZ': 9.06, 'GyroX': -2.69, 'GyroY': 2.74, 'GyroZ': 1.13, 'Temp': 27.07}]
[{'AccelX': 0.11, 'AccelY': -0.92, 'AccelZ': 9.07, 'GyroX': -3.28, 'GyroY': 1.32, 'GyroZ': 1.24, 'Temp': 26.93}]
[{'AccelX': 0.1, 'AccelY': -0.92, 'AccelZ': 9.07, 'GyroX': -2.46, 'GyroY': 1.95, 'GyroZ': 0.89, 'Temp': 27.02}]
[{'AccelX': 0.09, 'AccelY': -0.72, 'AccelZ': 9.17, 'GyroX': -2.84, 'GyroY': 4.25, 'GyroZ': 0.97, 'Temp': 26.98}]
[{'AccelX': -0.06, 'AccelY': -0.87, 'AccelZ': 9.06, 'GyroX': -2.83, 'GyroY': 3.4, 'GyroZ': 0.73, 'Temp': 26.88}]
